DOGID	DOGNAME	REGISTER_NUMBER	SEX	SIREID	SIRENAME	SIRE_REG_NUMBER	DAMID	DAMNAME	DAM_REG_NUMBER
	DOG1	1	2		DOG4	4		DOG3	3
	DOG2	2	2		DOG5	5		DOG6	6
	DOG3	3	2		DOG7	7		DOG13	13
	DOG4	4	1		DOG10	10		DOG9	9
	DOG5	5	1		DOG8	8		DOG12	12
	DOG6	6	2		DOG11	11		DOG9	9
	DOG7	7	1		DOG18	18		DOG17	17
	DOG8	8	1		DOG19	19		DOG26	26
	DOG9	9	2		DOG25	25		DOG16	16
	DOG10	10	1		DOG23	23		DOG24	24
	DOG11	11	1		DOG14	14		DOG21	21
	DOG12	12	2		DOG22	22		DOG24	24
	DOG13	13	2		DOG15	15		DOG20	20
	DOG14	14	1		DOG41	41		DOG31	31
	DOG15	15	1						
	DOG16	16	2		DOG35	35		DOG36	36
	DOG17	17	2		DOG22	22		DOG46	46
	DOG18	18	1		DOG32	32		DOG44	44
	DOG19	19	1		DOG40	40		DOG34	34
	DOG20	20	2						
	DOG21	21	2		DOG42	42		DOG27	27
	DOG22	22	1		DOG25	25		DOG33	33
	DOG23	23	1		DOG43	43		DOG37	37
	DOG24	24	2		DOG30	30		DOG29	29
	DOG25	25	1		DOG38	38		DOG28	28
	DOG26	26	2		DOG45	45		DOG39	39
	DOG27	27	2		DOG47	47			
	DOG28	28	2		DOG42	42		DOG63	63
	DOG29	29	2		DOG48	48		DOG64	64
	DOG30	30	1		DOG49	49		DOG65	65
	DOG31	31	2		DOG50	50		DOG66	66
	DOG32	32	1		DOG51	51		DOG67	67
	DOG33	33	2		DOG47	47			
	DOG34	34	2		DOG52	52		DOG68	68
	DOG35	35	1		DOG53	53		DOG69	69
	DOG36	36	2		DOG54	54		DOG70	70
	DOG37	37	2		DOG55	55		DOG71	71
	DOG38	38	1		DOG56	56		DOG72	72
	DOG39	39	2						
	DOG40	40	1		DOG57	57		DOG73	73
	DOG41	41	1		DOG58	58		DOG74	74
	DOG42	42	1		DOG59	59		DOG75	75
	DOG43	43	1		DOG60	60		DOG76	76
	DOG44	44	2		DOG61	61		DOG77	77
	DOG45	45	1						
	DOG46	46	2		DOG62	62		DOG78	78
